Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2001,7D1,PHX PD A1,D,Phoenix Police A1 (Encrypted),Law Dispatch,Phoenix Police
2011,7DB,PHX PD A2,D,Phoenix Police Precinct A2,Law Dispatch,Phoenix Police
2021,7E5,PHX PD A3,D,Phoenix Police Precinct A3,Law Dispatch,Phoenix Police
2031,7EF,PHX PD A4,D,Phoenix Police Precinct A4,Law Dispatch,Phoenix Police
2041,7F9,PHX PD A5,D,Phoenix Police Precinct A5,Law Dispatch,Phoenix Police
2051,803,PHX PD A6,D,Phoenix Police Precinct A6,Law Dispatch,Phoenix Police
2061,80D,PHX PD A7,D,Phoenix Police Precinct A7,Law Dispatch,Phoenix Police
2071,817,PHX PD A8,D,Phoenix Police Precinct A8,Law Dispatch,Phoenix Police
2081,821,PHX PD A9,D,Phoenix Police Precinct A9,Law Dispatch,Phoenix Police
2101,835,PHX PD Tac 1,D,Phoenix Police Tactical 1,Law Tac,Phoenix Police
2102,836,PHX PD Tac 2,D,Phoenix Police Tactical 2,Law Tac,Phoenix Police
2103,837,PHX PD Tac 3,D,Phoenix Police Tactical 3,Law Tac,Phoenix Police
2104,838,PHX PD Tac 4,D,Phoenix Police Tactical 4,Law Tac,Phoenix Police
2105,839,PHX PD Tac 5,D,Phoenix Police Tactical 5,Law Tac,Phoenix Police
2111,83F,PHX PD Det,D,Phoenix Police Detectives,Law Talk,Phoenix Police
2121,849,PHX PD Traffic,D,Phoenix Police Traffic,Law Tac,Phoenix Police
2131,853,PHX PD Air,D,Phoenix Police Air Unit,Law Tac,Phoenix Police
2811,AFC,PHX FD A1 Disp,D,Phoenix Fire Dispatch A1,Fire Dispatch,Phoenix Fire
2812,AFD,PHX FD A2,D,Phoenix Fire Operations A2,Fire-Tac,Phoenix Fire
2813,AFE,PHX FD A3,D,Phoenix Fire Operations A3,Fire-Tac,Phoenix Fire
2814,AFF,PHX FD A4,D,Phoenix Fire Operations A4,Fire-Tac,Phoenix Fire
2815,B00,PHX FD A5,D,Phoenix Fire Operations A5,Fire-Tac,Phoenix Fire
2816,B01,PHX FD A6,D,Phoenix Fire Operations A6,Fire-Tac,Phoenix Fire
2817,B02,PHX FD A7,D,Phoenix Fire Operations A7,Fire-Tac,Phoenix Fire
2818,B03,PHX FD A8,D,Phoenix Fire Operations A8,Fire-Tac,Phoenix Fire
2819,B04,PHX FD A9,D,Phoenix Fire Operations A9,Fire-Tac,Phoenix Fire
2820,B05,PHX FD A10,D,Phoenix Fire Operations A10,Fire-Tac,Phoenix Fire
2821,B06,PHX FD A11,D,Phoenix Fire Operations A11,Fire-Tac,Phoenix Fire
2822,B07,PHX FD A12,D,Phoenix Fire Operations A12,Fire-Tac,Phoenix Fire
2831,B10,PHX FD Cmd,D,Phoenix Fire Command,Fire-Tac,Phoenix Fire
2841,B1A,PHX FD EMS,D,Phoenix Fire EMS Operations,EMS-Tac,Phoenix Fire
