Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
512,200,200,PHS Admin,D,Administration,
513,201,201,PHS 1,D,Primary,
514,202,202,PHS 2,D,Secondary,
515,203,203,PHS Rescue,D,Rescue,
516,204,204,PHS Tac,D,Tac / Cover Ops,
525,20D,20d,LAW COM 1,D,Law Common 1,
526,20E,20e,LAW COM 2,D,Law Common 2,
527,20F,20f,LAW COM 3,D,Law Common 3,
528,210,210,LAW COM 4,D,Law Common 4,
529,211,211,SYS COM 1,D,System Common 1,
530,212,212,SYS COM 2,D,System Common 2,
531,213,213,SYS COM 3,D,System Common 3,
532,214,214,SYS COM 4,D,System Common 4,
533,215,215,SMC Parks 1,D,North District,
534,216,216,SMC Parks 2,D,South District,
535,217,217,SMC Parks 3,D,West District,
536,218,218,SMC Parks 4,D,Maintenance and Gardening,
537,219,219,SMC Parks 5,D,Marine,
538,21A,21a,SMC Parks 6,D,Ch 6,
539,21B,21b,SMC Parks 7,D,Ch 7,
540,21C,21c,SMC Parks 8,D,Ch 8,
541,21D,21d,SamTrans 1,D,SamTrans Transit Trunking Ch 1,
542,21E,21e,SamTrans 2,D,SamTrans Transit Trunking Ch 2,
543,21F,21f,SamTrans 3,D,SamTrans Transit Trunking Ch 3,
544,220,220,SamTrans 4,D,SamTrans Transit Trunking Ch 4,
545,221,221,SamTrans 5,D,SamTrans Transit Trunking Ch 5,
546,222,222,SamTrans 6,D,SamTrans Transit Trunking Ch 6,
561,231,231,SMC Building,D,Public Works Building Inspection,
609,261,261,SMC SO SAR,D,Search and Rescue,
625,271,271,SMC PW 1,D,Public Works 1,
627,273,273,SMC PW 2,D,Public Works 2,
628,274,274,SMC PW 3,D,Public Works 3 Roads,
629,275,275,SMC PW 4,D,Public Works 4 Airports,
630,276,276,SMC PW 5,D,Public Works 5,
631,277,277,SMC PW 6,D,Public Works 6 Surveys,
633,279,279,SMC PW 7,D,Public Works 7,
636,27C,27c,SMC PW 8,D,Public Works 8,
637,27D,27d,SMC PW 9,D,Public Works 9 County Control,
706,2C2,2c2,SMC EMS MCI 1,D,Mass Casualty Incident 1,
707,2C3,2c3,SMC EMS MCI 2,D,Mass Casualty Incident 2,
708,2C4,2c4,SMC EMS Tac Yel,D,Tactical (Yellow),
709,2C5,2c5,SMC EMS Disp Red,D,Dispatch (Red),
721,2D1,2d1,SMC EMS SFGH,D,San Francisco General Hospital,
722,2D2,2d2,SMC EMS SMC,D,Seton Medical Center,
723,2D3,2d3,SMC EMS KaiserSF,D,Kaiser SSF Medical Center,
724,2D4,2d4,SMC EMS PMC,D,Peninsula Medical Center,
725,2D5,2d5,SMC EMS MMC,D,Mills Medical Center,
726,2D6,2d6,SMC EMS SC,D,Seton Coastside,
727,2D7,2d7,SMC EMS SMCGH 1,D,SMC General Hospital 1,
728,2D8,2d8,SMC EMS SMCGH 2,D,SMC General Hospital 2,
729,2D9,2d9,SMC EMS SH,D,Sequoia Hospital,
730,2DA,2da,SMC EMS KaiserRC,D,Kaiser Redwood City Medical Center,
731,2DB,2db,SMC EMS SMC,D,Stanford Med Center,
732,2DC,2dc,SMC EMS PA VA,D,Palo Alto Veterans Hospital,
769,301,301,SMC Coroner,D,Coroner 1 Dispatch,
785,311,311,SMC  Radio 1,D,County Radio Shop 1,
786,312,312,SMC  Radio 2,D,County Radio Shop 2,
787,313,313,SMC Radio 3,D,County Radio Shop 3,
817,331,331,SMC SO Transit 1,D,Transit Police Bureau 1,
818,332,332,SMC SO Transit 2,D,Transit Police Bureau 2,
819,333,333,SMC SO Transit 3,D,Transit Police Bureau 3,
820,334,334,SMC SO Transit 4,D,Transit Police Bureau 4,
821,335,335,SMC SO Transit 5,D,Transit Police Bureau 5,
822,336,336,SMC SO Transit 6,D,Transit Police Bureau 6,
849,351,351,SMC SO NTF 1,DE,Narcotics Task Force 1,
850,352,352,SMC SO NTF 2,DE,Narcotics Task Force 2,
851,353,353,SMC SO NTF 3,D,Narcotics Task Force 3,
852,354,354,SMC SO NTF 4,D,Narcotics Task Force 4,
853,355,355,SMC SO NTF 5,D,Narcotics Task Force 5,
854,356,356,SMC SO NTF 6,D,Narcotics Task Force 6,
855,357,357,SMC SO NTF 7,D,Narcotics Task Force 7,
856,358,358,SMC SO NTF 8,D,Narcotics Task Force 8,
857,359,359,SMC SO NTF 9,D,Narcotics Task Force 9,
858,35A,35a,SMC SO NTF 10,D,Narcotics Task Force 10,
859,35B,35b,SMC SO NTF 11,D,Narcotics Task Force 11,
860,35C,35c,SMC SO NTF 12,D,Narcotics Task Force 12,
861,35D,35d,SMC SO NTF 13,D,Narcotics Task Force 13,
862,35E,35e,SMC SO NTF 14,D,Narcotics Task Force 14,
863,35F,35f,SMC SO NTF 15,D,Narcotics Task Force 15,
864,360,360,SMC SO NTF 16,D,Narcotics Task Force 16,
865,361,361,SMC SO PatPri 1,D,Patrol Primary 1 - South County,
866,362,362,SMC SO PatPri 2,D,Patrol Primary 2 - North County / Coast,
867,363,363,SMC SO PatPri 3,D,Patrol Backup,
868,364,364,SMC SO PatPri 4,D,Patrol Backup,
869,365,365,SMC SO PatPri 5,D,Patrol Backup,
870,366,366,SMC SO 6,D,Channel 6,
871,367,367,SMC SO 7,D,Vehicle Theft Task Force 1,
872,368,368,SMC SO 8,D,Vehicle Theft Task Force 2,
873,369,369,SMC SO 9,D,Vehicle Theft Task Force 3,
874,36A,36a,SMC SO 10,D,Vehicle Theft Task Force 4,
875,36B,36b,SMC SO 11,D,Vehicle Theft Task Force 5,
876,36C,36c,SMC SO 12,D,Vehicle Theft Task Force 6,
